 iteration = 365   ABB_IRB_6400
 iteration = 3410  AlpRider
 iteration = 27    BangBangF
 iteration = 78    BangBangFclip
 iteration = 5     BangBangFmodule
 iteration = 374   BangBangFork
 iteration = 10    BangBangFredundant
 iteration = 41    BangBangFtau
 iteration = 8     BangBangFtmin
 iteration = 7     BangBangFwork
 iteration = 7     BertolazziCorsoExample1
 iteration = 402   BertolazziPenalty
 iteration = 74    Bike1D
 iteration = 28    BikeSteering
 iteration = -1    Bocop_DualTankBioReactor
 iteration = 138   Bocop_InvertedPendulum
 iteration = 34    Bocop_Jackson
 iteration = 204   Bocop_SecondOrderSingularRegulator
 iteration = 168   Brachiostocrona
 iteration = 14    Brachiostocrona2
 iteration = -1    Brake
 iteration = 42    BrysonDenham
 iteration = 149   CNOC
 iteration = 83    Chachuat3_44
 iteration = 20    CristianiMartinon
 iteration = 86    Crossroad
 iteration = 2     Dadebo1
 iteration = -1    DenbighSystemReactions
 iteration = 6     Dido
 iteration = -1    DielectrophoresisParticleControl
 iteration = -1    DynamicSoaring
 iteration = 197   EconomicGrowthModel
 iteration = 49    EconomicGrowthModel2
 iteration = 4     Farmer
 iteration = 18    FlowInAchannel
 iteration = 684   ForwardBackward
 iteration = 31    FreeFlyingRobot
 iteration = 90    GerdtsKunkel
 iteration = 118   GoddardRocket
 iteration = 12    Gong
 iteration = 16    GunnAndThomas
 iteration = 1     Hager_2000
 iteration = 57    HangGlider
 iteration = 113   HangingChain
 iteration = 6     HyperSensitive
 iteration = 55    HypersonicProblem3DOF
 iteration = 135   ICLOCS2_AlyChan
 iteration = -1    ICLOCS2_BatchFermentor_WORKING_ON
 iteration = -1    ICLOCS2_ParallelParking_WORKING_ON
 iteration = 48    ICLOCS_Catalyst
 iteration = 8     ICLOCS_ContinuousMP
 iteration = 90    ICLOCS_MinimumFuelOrbitRaising
 iteration = 170   ICLOCS_PathConstrained
 iteration = 98    ICLOCS_SingularArc
 iteration = 36    ICLOCS_Speyer
 iteration = 643   ICLOCS_StirredTank
 iteration = 36    ICLOCS_TwoLinkRobotArm
 iteration = -1    LUUS_DrugDisplacement
 iteration = 367   LUUS_Singular02
 iteration = 99    LUUS_Singular03
 iteration = 451   LUUS_Singular04
 iteration = 58    MinimumEnergyProblem
 iteration = -1    MultipleDubins
 iteration = -1    PointMassCarModel_1
 iteration = -1    PointMassCarModel_2
 iteration = -1    PointMassCarModel_3
 iteration = -1    PointMassCarModel_4
 iteration = -1    PointMassCarModel_5
 iteration = 362   Point_mass_GGV_map
 iteration = -1    Pugliese
 iteration = 28    ROSS_Ball_Mizel
 iteration = -1    ROSS_Fuller
 iteration = 7     Rayleight
 iteration = 35    RobotArm
 iteration = 10    SingularCalogero
 iteration = 61    SingularCalogeroModified
 iteration = -1    SingularConstrainedCalogero
 iteration = -1    SingularLuus04_FreeTime
 iteration = 108   SingularMarchal
 iteration = 31    SlidingMode
 iteration = -1    Smith-model-with-MF96
 iteration = 322   SoundingRocket
 iteration = -1    StirredTank
 iteration = -1    Topputo
 iteration = 40    Train
 iteration = 54    TwoPhaseSchwartz
 iteration = 4     TwoStageCSTR
 iteration = -1    Tyre_Dynamic_1D_1
 iteration = 149   Tyre_Dynamic_1D_2
 iteration = 158   Tyre_Dynamic_1D_3
 iteration = 287   Tyre_Dynamic_1D_4
 iteration = 104   Tyre_Dynamic_1D_5
 iteration = -1    Tyre_Dynamic_1D_6
 iteration = 610   Underwater
 iteration = 3     WorstCaseScenario
 iteration = -1    Zermelo
 iteration = 15    gtocX_2burn
 iteration = 15    gtocX_2burn_pars
 iteration = 57    vanDerPol
