 iteration = 4044  AlpRider
 iteration = 7     BertolazziCorsoExample1
 iteration = 6     Brake
 iteration = 180   CNOC
 iteration = 124   Chachuat3_44
 iteration = 24    CristianiMartinon
 iteration = 96    GoddardRocket
 iteration = 68    HangGlider
 iteration = 118   HangingChain
 iteration = 56    ICLOCS_Catalyst
 iteration = 32    ICLOCS_MinimumFuelOrbitRaising
 iteration = 380   ICLOCS_StirredTank
 iteration = 64    ICLOCS_TwoLinkRobotArm
 iteration = 63    MinimumEnergyProblem
 iteration = 298   ROSS_Fuller
 iteration = 115   SoundingRocket
 iteration = 42    TwoPhaseSchwartz
 iteration = 4     TwoStageCSTR
 iteration = 631   Underwater
