 iteration = 668   ABB_IRB_6400
 iteration = 3626  AlpRider
 iteration = 27    BangBangF
 iteration = 83    BangBangFclip
 iteration = 5     BangBangFmodule
 iteration = 378   BangBangFork
 iteration = 10    BangBangFredundant
 iteration = 42    BangBangFtau
 iteration = 8     BangBangFtmin
 iteration = 7     BangBangFwork
 iteration = 7     BertolazziCorsoExample1
 iteration = 395   BertolazziPenalty
 iteration = 70    Bike1D
 iteration = 28    BikeSteering
 iteration = -1    Bocop_DualTankBioReactor
 iteration = 16    Bocop_InvertedPendulum
 iteration = 35    Bocop_Jackson
 iteration = 205   Bocop_SecondOrderSingularRegulator
 iteration = 170   Brachiostocrona
 iteration = 17    Brachiostocrona2
 iteration = -1    Brake
 iteration = 40    BrysonDenham
 iteration = 300   CNOC
 iteration = 50    Chachuat3_44
 iteration = 22    CristianiMartinon
 iteration = 83    Crossroad
 iteration = 2     Dadebo1
 iteration = -1    DenbighSystemReactions
 iteration = 6     Dido
 iteration = -1    DielectrophoresisParticleControl
 iteration = -1    DynamicSoaring
 iteration = 269   EconomicGrowthModel
 iteration = 105   EconomicGrowthModel2
 iteration = 4     Farmer
 iteration = 19    FlowInAchannel
 iteration = 538   ForwardBackward
 iteration = -1    FreeFlyingRobot
 iteration = -1    GerdtsKunkel
 iteration = 134   GoddardRocket
 iteration = 12    Gong
 iteration = 16    GunnAndThomas
 iteration = 1     Hager_2000
 iteration = -1    HangGlider
 iteration = 112   HangingChain
 iteration = 6     HyperSensitive
 iteration = 55    HypersonicProblem3DOF
 iteration = 134   ICLOCS2_AlyChan
 iteration = -1    ICLOCS2_BatchFermentor_WORKING_ON
 iteration = -1    ICLOCS2_ParallelParking_WORKING_ON
 iteration = 45    ICLOCS_Catalyst
 iteration = 8     ICLOCS_ContinuousMP
 iteration = 130   ICLOCS_MinimumFuelOrbitRaising
 iteration = 460   ICLOCS_PathConstrained
 iteration = 89    ICLOCS_SingularArc
 iteration = 49    ICLOCS_Speyer
 iteration = -1    ICLOCS_StirredTank
 iteration = 36    ICLOCS_TwoLinkRobotArm
 iteration = -1    LUUS_DrugDisplacement
 iteration = 270   LUUS_Singular02
 iteration = 100   LUUS_Singular03
 iteration = 449   LUUS_Singular04
 iteration = -1    MinimumEnergyProblem
 iteration = -1    MultipleDubins
 iteration = 484   PointMassCarModel_1
 iteration = 353   PointMassCarModel_2
 iteration = 102   PointMassCarModel_3
 iteration = 102   PointMassCarModel_4
 iteration = -1    PointMassCarModel_5
 iteration = 369   Point_mass_GGV_map
 iteration = -1    Pugliese
 iteration = 28    ROSS_Ball_Mizel
 iteration = -1    ROSS_Fuller
 iteration = 7     Rayleight
 iteration = 36    RobotArm
 iteration = 10    SingularCalogero
 iteration = 64    SingularCalogeroModified
 iteration = -1    SingularConstrainedCalogero
 iteration = -1    SingularLuus04_FreeTime
 iteration = 107   SingularMarchal
 iteration = 31    SlidingMode
 iteration = -1    Smith-model-with-MF96
 iteration = -1    SoundingRocket
 iteration = -1    StirredTank
 iteration = -1    Topputo
 iteration = 37    Train
 iteration = 43    TwoPhaseSchwartz
 iteration = 4     TwoStageCSTR
 iteration = 348   Tyre_Dynamic_1D_1
 iteration = 264   Tyre_Dynamic_1D_2
 iteration = 260   Tyre_Dynamic_1D_3
 iteration = -1    Tyre_Dynamic_1D_4
 iteration = 288   Tyre_Dynamic_1D_5
 iteration = -1    Tyre_Dynamic_1D_6
 iteration = 604   Underwater
 iteration = 3     WorstCaseScenario
 iteration = -1    Zermelo
 iteration = 18    gtocX_2burn
 iteration = 18    gtocX_2burn_pars
 iteration = 61    vanDerPol
 iteration = -1    wheel_slip_dynamics_with_actuator
 iteration = -1    wheel_slip_dynamics_with_actuator_ocp
